game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
19,Easy_vs_Medium,O9_central_cross_variant_black,Easy,Medium,white,Medium,loss,24,255.8283,45985.8621,21.319,3832.1552,938,5194,78.17,432.83,False
20,Easy_vs_Medium,O10_diagonal_balance_white,Easy,Medium,black,Easy,win,48,1019.9078,167469.487,42.4962,6977.8953,2306,10812,96.08,450.5,False
21,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,34,426.0955,65738.7236,25.0644,3866.9837,1284,7382,75.53,434.24,False
22,Easy_vs_Medium,O2_central_cross_variant_white,Easy,Medium,white,Medium,loss,13,75.285,14619.765,12.5475,2088.5379,377,2422,62.83,346.0,False
23,Easy_vs_Medium,O3_wide_center_variant_black,Easy,Medium,black,Easy,win,3,15.3438,1794.1513,7.6719,1794.1513,137,342,68.5,342.0,False
24,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,34.8875,7418.1031,11.6292,1854.5258,220,1363,73.33,340.75,False
25,Easy_vs_Medium,O5_offset_tension_mirror_variant_black,Easy,Medium,white,Medium,loss,12,74.862,12805.6873,12.477,2134.2812,397,2207,66.17,367.83,False
26,Easy_vs_Medium,O1_central_cross_black,Medium,Easy,black,Medium,win,19,21859.9277,123.083,2185.9928,13.6759,4065,571,406.5,63.44,False
27,Easy_vs_Medium,O2_central_cross_variant_white,Medium,Easy,black,Medium,win,24,45717.0535,251.7223,3809.7545,20.9769,5194,938,432.83,78.17,False
28,Easy_vs_Medium,O3_wide_center_variant_black,Medium,Easy,black,Medium,win,3,3449.0697,8.3968,1724.5349,8.3968,570,71,285.0,71.0,False
29,Easy_vs_Medium,O4_wide_center_white,Medium,Easy,black,Medium,win,14,15116.8928,103.6262,2159.5561,14.8037,2746,468,392.29,66.86,False
30,Easy_vs_Medium,O5_offset_tension_mirror_variant_black,Medium,Easy,black,Medium,win,33,76089.7246,452.9555,4475.8662,28.3097,7718,1414,454.0,88.38,False
31,Easy_vs_Medium,O6_diagonal_balance_variant_white,Medium,Easy,white,Easy,loss,3,1402.474,13.6385,1402.474,6.8193,318,125,318.0,62.5,False
32,Easy_vs_Medium,O7_offset_tension_mirror_black,Medium,Easy,black,Medium,win,13,15493.918,105.6964,2213.4169,17.6161,2874,411,410.57,68.5,False
33,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Medium,Easy,black,Medium,win,46,145496.8225,945.4295,6325.9488,41.1056,11053,1995,480.57,86.74,False
34,Easy_vs_Medium,O9_central_cross_variant_black,Medium,Easy,black,Medium,win,13,15267.148,87.1156,2181.0211,14.5193,2422,377,346.0,62.83,False
35,Easy_vs_Medium,O10_diagonal_balance_white,Medium,Easy,black,Medium,win,46,144885.1846,822.2481,6299.3559,35.7499,11053,1995,480.57,86.74,False
36,Easy_vs_Medium,O1_central_cross_black,Medium,Easy,black,Medium,win,19,22919.2868,148.4508,2291.9287,16.4945,4065,571,406.5,63.44,False
37,Easy_vs_Medium,O2_central_cross_variant_white,Medium,Easy,black,Medium,win,24,48055.8455,241.2165,4004.6538,20.1014,5194,938,432.83,78.17,False
38,Easy_vs_Medium,O3_wide_center_variant_black,Medium,Easy,black,Medium,win,3,3317.4608,8.8127,1658.7304,8.8127,570,71,285.0,71.0,False
39,Easy_vs_Medium,O4_wide_center_white,Medium,Easy,black,Medium,win,14,15773.5921,94.552,2253.3703,13.5074,2746,468,392.29,66.86,False
40,Easy_vs_Medium,O5_offset_tension_mirror_variant_black,Medium,Easy,black,Medium,win,33,74892.6743,453.4539,4405.4514,28.3409,7718,1414,454.0,88.38,False
41,Easy_vs_Medium,O6_diagonal_balance_variant_white,Medium,Easy,white,Easy,loss,3,1467.8872,13.6075,1467.8872,6.8038,318,125,318.0,62.5,False
42,Easy_vs_Medium,O7_offset_tension_mirror_black,Medium,Easy,black,Medium,win,13,15464.4342,70.9362,2209.2049,11.8227,2874,411,410.57,68.5,False
